id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58780;;Rally Guard Minicross ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58781;;Ersatzaufkleber Für Cyclope Und ;;;;;;;;;;;;;;;;;;;;;;;;;;;Diamond Weiss;;;;;;;;;;;;;;;;;;;;;;;;;
58782;;Chain Sliders Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>CR 125 '02-07</li><li>CRE 125 '00-06</li><li>CR 250 '00-07</li><li>CRE 250 '00-06</li><li>CRF 250 R '04-09</li><li>CRF 250 X '07-16</li><li>CRE 450 F '04-06</li><li>CRF 450 R '02-08</li><li>CRF 450 X '05-16</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58783;;Expander Für Handschutz Rally Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;Multiplo Für Lenker Innen 12 Mm;<ul><li>1 STK.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58784;;Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Radialbremsen Und Atv;<ul><li>ATV</li><li>TDM</li><li>TRANSALP</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58785;;Ersatzscheibe Acerbis Diamond;;;;;;;;;;;;;;;;;;;;;;;;;;;Klar;;;;;;;;;;;;;;;;;;;;;;;;;
58786;;Scheinwerfereinsatz ;;;;;;;;;;;;;;;;;;;;;;;;;;;Homologiert;;;;;;;;;;;;;;;;;;;;;;;;;
58787;;Birne 12V 20W 36°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58788;;Birne 12V 20W 10°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58789;;Ersatzhalogen Zu Scheinwerfer ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cyclope;;;;;;;;;;;;;;;;;;;;;;;;;
